,mean_ret,std_error_nw_ret,tstat_nw_ret,mean_ct,std_error_nw_ct,tstat_nw_ct,mean_chg,std_error_nw_chg,tstat_nw_chg,mean_misp,std_error_nw_misp,tstat_nw_misp
mvel1,7.409300076657039e-09,6.042306346271393e-09,1.2262370777061304,7.183294298371482e-10,7.876180426066696e-09,0.09120276466239821,-5.736093987576014e-08,1.7699433339455092e-08,-3.2408348208466484,9.103323534037337e-08,8.61435395951629e-09,10.567621874860253
beta,-0.09182877389027308,0.025171971222918393,-3.6480565259293436,-1.0366028458068335,0.24267895291805625,-4.271498757277299,-1.0180178550362011,0.4231228326619197,-2.405962941379743,0.9781270947969409,0.03596551252930623,27.19625068598484
betasq,-0.046275135379705346,0.010659631899933053,-4.341156975598376,-0.298523380752794,0.07227933813632383,-4.130134398709605,-0.24898481844763964,0.10659631159512063,-2.335773299486628,0.33622641995569297,0.010742384319135637,31.299049630608142
chmom,0.009175302528683654,0.012968163175695813,0.7075252219126513,-0.0007303741642034339,0.08854903533201663,-0.008248245296686512,0.09061320970038228,0.17247733490176,0.5253629977063011,-0.008111955247234424,0.029588944740316012,-0.2741549358528353
dolvol,-0.006037660917767585,0.004878235711582745,-1.2376730594284189,-0.06152621776229744,0.03731578027923934,-1.6487989076441099,-0.3394621213996969,0.12717710886115005,-2.6692077248769372,0.2906349637454747,0.009756089527413305,29.79010831428201
idiovol,-2.8820933777319366,0.5525578542910325,-5.2159124250072395,-13.767600727207151,3.4666488193148526,-3.9714437327771135,-4.722693904897458,3.0869986758940247,-1.5298658667321003,4.844734520204728,0.6644561469791119,7.2912780508252695
indmom,0.09484594200132707,0.07544444751370791,1.2571626557951001,0.9347808108474053,0.3519862748209043,2.6557308557642916,-0.07288208906419975,0.3616645194287174,-0.20151849337978678,0.1307335019110409,0.10588414549983423,1.2346843929646256
mom1m,0.0402741671027011,0.0337699695095235,1.1926030046116372,0.5200010910535608,0.24418428839952613,2.129543610122665,0.1763481014220798,0.7389965067068186,0.238631847135432,0.3962056764367708,0.06229039409032498,6.360622407722252
mom6m,0.028994635454550846,0.031151632149514406,0.9307581482533273,0.49890077931437476,0.1547354607671042,3.2242174924937306,-0.004298449668769575,0.37834368298204557,-0.011361230178048352,0.3937816466640601,0.04936710657860621,7.976599682564945
mom12m,-0.0023382220268830804,0.025195543841557144,-0.09280299887897053,0.4294693860323881,0.09365184264434355,4.58580817959301,-0.03126460931942166,0.28494859513362397,-0.10972017357994138,0.37360953278181896,0.0360762264522164,10.356114525355677
