,count,mean,std_error,tstat,std_error_nw,tstat_nw
mvel1,420.0,8.881569850198954e-11,3.374806182727854e-09,0.026317273850138517,7.929558050839148e-09,0.011200586203236206
beta,420.0,-0.07158053633617273,0.011294472964436834,-6.337660602806347,0.026207335045146878,-2.731316870367105
betasq,420.0,-0.040514893998574324,0.004696576010710255,-8.626474671373908,0.010954235872245604,-3.6985595774165874
chmom,420.0,0.010843055222616561,0.007598901964230877,1.4269239521257648,0.013107992805117239,0.8272094273948284
dolvol,420.0,-0.006651411109609963,0.0022935793715793563,-2.900013486356833,0.0054335339231106426,-1.2241409005139878
idiovol,420.0,-2.58501457447711,0.24820030614477837,-10.415033787143027,0.5829041700936487,-4.434716214265211
indmom,420.0,0.031173854144043462,0.03518843623346873,0.8859118926800481,0.07968436840411887,0.3912166811180007
mom1m,420.0,0.03931847624235054,0.027456023449616666,1.4320528358559328,0.034175849125968334,1.1504754745793457
mom6m,420.0,0.025050838644005317,0.01596708786868127,1.568904665022945,0.03208825025846281,0.7806857164920833
mom12m,420.0,-0.008328742084037234,0.011757547956833168,-0.7083740686931916,0.026055454217447524,-0.31965445754770433
mom36m,420.0,-0.015465418624626496,0.0054091763090058885,-2.8591078828171472,0.012283109018847252,-1.2590801401254597
pricedelay,420.0,-0.02044280089004069,0.003815445197445074,-5.357907093968942,0.007750537271419115,-2.637597907621911
turn,420.0,-0.06437194892308178,0.0073440527406147,-8.765180642982939,0.017142977620169773,-3.7550039642672224
absacc,420.0,-0.5576250188304555,0.03685614849184014,-15.129769160603209,0.0854148790826225,-6.528429529134616
acc,420.0,-0.19826946300676415,0.028584432817511336,-6.9362741696697485,0.06580355709237648,-3.013050840525674
age,420.0,0.0015806083057691462,0.0003430603569786498,4.607376730117245,0.000798475701932399,1.979532128459138
agr,420.0,0.11722286828163445,0.009640061221573692,12.159971351561436,0.022030286016812346,5.3209871261851145
bm,420.0,-0.0005903418401428881,0.00014697992365999866,-4.016479430949335,0.0003524048072205242,-1.6751810078841238
bm_ia,420.0,-0.0002792221427336707,0.00010002087428563934,-2.7916386927019743,0.00023605278090158924,-1.1828801239587128
cashdebt,420.0,0.010860624339955062,0.002402501330482052,4.52054873067476,0.005670521960660763,1.9152777143445745
cashpr,420.0,-0.0003014533625728911,3.763974951070633e-05,-8.008909902207108,8.677924459678829e-05,-3.4737956521005247
cfp,420.0,0.27922381820719705,0.017064155770468718,16.36317799503581,0.03947075480699683,7.07419504827154
cfp_ia,420.0,0.16210207621878542,0.010032708811405885,16.15735882162716,0.022648390493173028,7.1573331565282015
chatoia,420.0,0.10103449554548967,0.007764482808920892,13.012392200728106,0.01721868407255242,5.867724567090728
chcsho,420.0,-0.08853570208231276,0.00804499349450543,-11.005068200835822,0.018421996927352056,-4.805977464411548
chempia,420.0,0.020802319660590655,0.00538944913300971,3.8598229888058535,0.0119148441909476,1.7459162140278246
chinv,420.0,-0.07792748014071806,0.04846029398970988,-1.6080686625067788,0.1073671535619672,-0.7258037263299714
chpmia,420.0,-0.009413798783912674,0.004901914731389849,-1.9204329939952998,0.010578154904503909,-0.8899282406901149
convind,420.0,-0.05895182809129415,0.005312075603227966,-11.097701255507573,0.01240939413069974,-4.750580686727691
currat,420.0,-0.007739195641595119,0.0010037311421115687,-7.710426942930178,0.0023785592814879195,-3.2537325017831074
depr,420.0,-0.08339669849128437,0.023669566964940107,-3.5233723800191794,0.05378595479579924,-1.5505292935284616
divi,420.0,-0.05159923266529396,0.007660188403898417,-6.736026575930445,0.01615821386828064,-3.1933747805248305
divo,420.0,-0.03282937466181828,0.010633965353434357,-3.0872185088712625,0.022479546312540327,-1.4604109088938442
dy,420.0,0.732322956571279,0.1106562544295153,6.6179987778074185,0.2526575930125228,2.898479906499315
egr,420.0,-0.0515985390378672,0.005906300653706395,-8.73618565378778,0.013440403198508769,-3.839061840316824
ep,420.0,0.41898227215750505,0.029282573611212136,14.308246184928194,0.06787410802443852,6.1729322764234
gma,420.0,0.08637646950710473,0.008918407723652147,9.68518957459516,0.02004360884846604,4.309427017865358
grcapx,420.0,-0.009278794948420082,0.0005111269583715175,-18.15360116786425,0.0010816952010333741,-8.578012493312151
grltnoa,420.0,-0.2413037474870837,0.019482281104248485,-12.385805655707472,0.0454577356738732,-5.308309881914616
herf,420.0,-0.07757830261532336,0.025924519088091888,-2.9924683405586494,0.06099393251092692,-1.2719019650261998
hire,420.0,-0.0712595824052338,0.008169577398480192,-8.722554292525635,0.01773046503183406,-4.019047570229613
invest,420.0,-0.1829253973902563,0.021731614666985054,-8.417478415359485,0.05111347028912626,-3.5788099762259997
lev,420.0,0.005079351141462066,0.0013873253317546708,3.6612545199025304,0.0032923562873586137,1.5427707994316495
lgr,420.0,-0.0516934913131488,0.0039210874171375825,-13.18345800892278,0.008895564264195811,-5.811153714128338
mve_ia,420.0,-1.081261630798556e-06,2.628130045074337e-06,-0.41141861789718726,6.185378671225924e-06,-0.1748092862654524
operprof,420.0,0.14238242656988026,0.008121565968105728,17.5314006103049,0.018276644210371718,7.790403146824973
orgcap,420.0,2.8618083811269215,0.38250168513976995,7.481819014944177,0.8898025699667262,3.216228495759388
pchcapx_ia,420.0,0.0011281943574952735,0.0005341115870040311,2.1122821240849783,0.0011963479966334957,0.9430319277250386
pchcurrat,420.0,-0.03151342189313516,0.0029809205341520717,-10.571708145886289,0.006713516042961385,-4.694026452230587
pchdepr,420.0,-0.026326177786048163,0.0035627487027528864,-7.389288434995792,0.007656264581626508,-3.4385146314334127
pchgm_pchsale,420.0,0.0042197794562597105,0.003379717739240794,1.2485597265313715,0.007255115165000982,0.5816281837421583
pchquick,420.0,-0.0237288407270647,0.0026464294077835774,-8.966360733928644,0.005783455496417092,-4.102882911741078
pchsale_pchinvt,420.0,0.014226136876220109,0.0023728118406911246,5.99547618241676,0.005047092898638874,2.8186794184146455
pchsale_pchrect,420.0,0.032976692926638664,0.0022285973003122747,14.797062224753622,0.004521150323980371,7.293872258953413
pchsale_pchxsga,420.0,0.0033420571386222394,0.007575552182632931,0.4411635030755852,0.016219793785455256,0.2060480658896635
pchsaleinv,420.0,-0.0066336788590340545,0.0028550973103554727,-2.3234510554066303,0.006354188016525233,-1.0439852962773457
pctacc,420.0,-0.003866141544301241,0.00038434202616934704,-10.059117351371196,0.000876190568794779,-4.412443687472248
ps,420.0,0.023612391457493925,0.0012513088794050117,18.870154161074478,0.0028453391118840976,8.298621193822663
quick,420.0,-0.01189303354196981,0.0011765023252087608,-10.1088058112078,0.0028228672232161,-4.213104124826688
rd,420.0,0.0057742215386500356,0.00791916904070772,0.7291448773183411,0.018113551292483644,0.31877909778222746
rd_mve,420.0,0.40160235531763555,0.07223887339854661,5.559366258412822,0.1659577084446366,2.4199078131499383
rd_sale,420.0,-0.4742186641208511,0.0639467905624971,-7.415832130892999,0.14867640632034743,-3.189602680462091
realestate,360.0,0.12820804243831724,0.016139449373845965,7.94376805977525,0.037284037499170655,3.4386845158915285
roic,420.0,0.14439574081294484,0.010628166505570207,13.58613837459803,0.023320076731473915,6.191906762384761
salecash,420.0,8.994035511861372e-05,1.5265469216801027e-05,5.891751759561131,3.5378049275773944e-05,2.5422643972685846
saleinv,420.0,0.00014942533221968453,4.2165654416806105e-05,3.543768839506676,9.82845253715674e-05,1.5203342708811776
salerec,420.0,0.0006960971029209113,0.00011275964714076412,6.173282025722683,0.0002663066010924253,2.613893534990976
secured,407.0,-0.030279423392656834,0.005214037374298767,-5.807289288318364,0.011586702242195148,-2.613290888100036
securedind,420.0,-0.02080962467406066,0.006838123796520238,-3.043177528410672,0.015693194694076408,-1.3260285798860008
sgr,420.0,-0.05341481003823383,0.0076546838534665715,-6.978055666406641,0.017183349417628106,-3.10852143781913
sin,420.0,0.1788847524763146,0.013171504750368495,13.581193331104405,0.030823036277062864,5.8036058118464044
sp,420.0,0.01945648342566995,0.001635633642990535,11.89537981750999,0.003817734039723444,5.096343334351121
tang,420.0,-0.038705049423847976,0.018988634529905766,-2.0383271563255505,0.04374018283217326,-0.8848854055401507
tb,420.0,0.0107222284703038,0.0014253629275615936,7.522454992320168,0.0031295867747879154,3.4260844136620623
aeavol,420.0,0.004088602938961759,0.0008918715781605085,4.584295585912192,0.0017535555790996287,2.3316072713595264
cash,420.0,-0.037449632165207414,0.026178938818902295,-1.4305252181638166,0.06118890602004542,-0.6120330399915788
chtx,420.0,-0.0021599872874559656,0.23317585859897533,-0.009263340126349844,0.5001502495743356,-0.004318676816205276
cinvest,420.0,-0.003414185944624186,0.0022827861635684584,-1.4956223228929686,0.003442980584684769,-0.9916367114619615
ear,420.0,0.23965277247621156,0.022612318478167893,10.598328194766733,0.03690172948621047,6.494350693394075
nincr,420.0,0.003267104790019529,0.0012725084065941634,2.567452421602347,0.0027250212992026793,1.1989281665341327
roaq,420.0,0.6383224152445699,0.1342791865525909,4.753695875232077,0.30649344228577224,2.0826625538350108
roavol,420.0,-2.573364410712148,0.18498131993639616,-13.911482584279169,0.429093219794152,-5.997215271652773
roeq,420.0,0.32172401115461835,0.053106897402289015,6.058045694470402,0.1197265825435447,2.687156054400926
rsup,420.0,0.15768415773496314,0.01833420362698521,8.600545785521636,0.03939490928972447,4.002653149301514
stdacc,420.0,-0.03802733913663588,0.004813476203757235,-7.900182223182706,0.010633922477158901,-3.5760406584039504
stdcf,420.0,-0.03764617755773105,0.004692197630044797,-8.02314406296046,0.01037394195509277,-3.6289173123096
ms,420.0,0.014386645708685815,0.0014971537116971456,9.609331090244154,0.0035251684395524578,4.081122918061836
baspread,420.0,-0.8609555831679717,0.1804963832276025,-4.769932603482271,0.39050864338068664,-2.2047030142906996
ill,420.0,6840.947161950734,1241.6671630282383,5.5094854447682255,2815.648046281013,2.4296172850816524
maxret,420.0,-0.95821667123679,0.08934314869229829,-10.72512761484297,0.19967091219095126,-4.798979784899359
retvol,420.0,-3.4836901803187743,0.3385544473398531,-10.289896374693672,0.7758504538122316,-4.490156786274026
std_dolvol,420.0,0.04055830577323443,0.011269039602689934,3.5990915999224202,0.026286466946163416,1.5429348438609407
std_turn,420.0,-0.009993204617020945,0.000892611075841702,-11.195474588524114,0.0020177019937613347,-4.952765397427167
zerotrade,420.0,0.002460492351054948,0.0016177679723272205,1.5209179518589657,0.0037115801253019983,0.6629231400075855
