,mean_ret,std_error_ret,tstat_ret,mean_ct,std_error_ct,tstat_ct,mean_chg,std_error_chg,tstat_chg
mvel1,-1.1758538052959772e-07,1.4391505385845444e-08,-8.170471217364593,6.032305765826165e-08,2.6708358057515065e-09,22.58583531355955,-2.072246186749371e-07,1.4453408316973991e-08,-14.337422297242778
beta,-0.028831761553086352,0.02454588019818146,-1.174606953195446,0.04138925654342295,0.0046463684307425455,8.907872279256264,0.25589145862158075,0.023519006465549344,10.880198489524238
idiovol,2.5944940230053954,0.5746161010762896,4.515178078278273,-2.152908024267553,0.08117069545977146,-26.52321767200508,19.033118737199782,0.7198135805308847,26.441733320955503
indmom,-0.08231123191350215,0.08468893661458847,-0.9719242583962645,0.17166992146914695,0.015776888889371742,10.881100999880534,-0.5261804716653152,0.08567327612498202,-6.141710641457341
mom1m,-0.21928123331857158,0.061157120365410295,-3.5855388875143035,0.19167819244039924,0.016461807373686077,11.6438121337025,-0.816988816954142,0.09926374054306623,-8.230485900334232
mom6m,-0.20888731163860247,0.05696945024161601,-3.6666548606784857,0.17051775492839963,0.00860300922977514,19.820710448413237,-0.8024014995578885,0.05661627441656178,-14.172629828202977
mom12m,-0.2301318195717036,0.04233924922818711,-5.435425137829196,0.12806209629184873,0.0052965152392530504,24.178557128046496,-0.6865977399420866,0.04106582107988806,-16.719445073468826
mom36m,-0.18489080872976413,0.012523941191672128,-14.762989214027003,0.035077780072993496,0.0033359638653605683,10.515035980223997,-0.31729025756060447,0.01684946545069269,-18.830879738535593
pricedelay,-0.04722601644327994,0.013718458940018038,-3.4425161492095295,-0.020060512389559592,0.0035499345706327705,-5.650952712061912,0.009462282512099142,0.018570115759253367,0.5095435394571597
age,-0.01626552791905516,0.0022051169904180323,-7.376265291018252,0.009551795064595706,0.000747002365748334,12.786833753902348,-0.045971219534788346,0.0026021756418151292,-17.666455252313963
agr,0.3713607087431018,0.03295171848113718,11.269843451584562,-0.15224374576094013,0.00822762279391209,-18.503977342470137,0.5015462818578685,0.03427865213750714,14.631446996397061
bm,0.007240744053090384,0.004290518324802617,1.6876152261681554,0.0003332991018159659,0.00032626813296961487,1.0215496646342896,0.004363475869212596,0.001212504511261888,3.5987295953822085
bm_ia,0.0015068828077014586,0.001258338884925062,1.197517477806623,-0.00011419834877599698,0.00015753431460539452,-0.7249109443999602,0.0013274629912018645,0.00046053583250232324,2.882431501560018
cashpr,-0.002552385950892779,0.0005583735866453112,-4.571107967745078,0.00043117534957079343,0.00010078791797531167,4.278046002263994,-0.002676416840300244,0.0006012882351619554,-4.451137879954292
cfp,0.5533451287146324,0.09481889234846062,5.835810933975922,0.07883975127625956,0.006671649532724564,11.81713021488151,-0.33914945176088,0.07350727772485004,-4.613821410042864
cfp_ia,0.4224838212127544,0.05797219483603964,7.287697531681316,0.02579109459071085,0.014770214868467938,1.7461556802244453,0.08419635119210205,0.042772258599267074,1.9684803643627273
chatoia,0.26750733939070426,0.04181781536287112,6.3969706946531835,-0.04506570587560664,0.01132765368581746,-3.9783795590458566,0.2624895058625838,0.047002822546391924,5.584547728032841
chcsho,-0.39349326554542563,0.015129002437659404,-26.00920101420135,0.12715787448842375,0.008305233067880603,15.310572677386999,-0.34009295340783,0.016319005576002736,-20.840298866490993
depr,0.7033105974494673,0.09230361726703928,7.619534513092291,-0.26213341419222486,0.012462440886851696,-21.03387422834516,1.8570924667952848,0.1257543191386392,14.76762372470017
divi,-0.0003110970522207183,0.018296818286122354,-0.017002795095619277,-0.012940858544137759,0.013679393701167929,-0.9460111191209363,0.14516629252752727,0.02991093566599732,4.853284903840437
egr,-0.25000936932960194,0.015613804277926541,-16.012072706908704,0.044273194722098196,0.00503245210927773,8.797539203696942,-0.3288331099732765,0.018061808911818963,-18.205989863955466
ep,0.27050629135013327,0.06302098842809985,4.292320671211811,0.028502124824862658,0.008569852812302502,3.3258593174373154,-1.639102622250461,0.09290638429885169,-17.642518699016037
grcapx,-0.012408351843549784,0.0017600453325580423,-7.050018322832366,-0.0001413865123788298,0.0007204943435308016,-0.19623542314844758,0.024590792025183154,0.007911527620264862,3.1082229887178103
hire,-0.21681123327110757,0.017187792907891946,-12.6142567828797,0.14207958145605237,0.008780203666374319,16.181809312712954,-0.15323558556997388,0.034621535949956005,-4.426019278620959
invest,-0.4508960768061749,0.10100248681673722,-4.464207674651595,0.30310288388073037,0.01854517285779618,16.344031204503406,-0.28755077300912074,0.11059144307011791,-2.600117739912354
lev,0.026772084894168467,0.002855404716747503,9.375933554058026,0.0034487060149579704,0.0007615486174071879,4.528543465418705,0.03380139944566421,0.003919611108776276,8.623661508148238
mve_ia,-9.289431897494072e-05,1.0549344449132276e-05,-8.805695882134328,3.464225807692192e-05,1.8104204540963463e-06,19.134924154518163,-0.00013226485762531866,1.1462049381052151e-05,-11.539372517794675
orgcap,5.92834134793176,0.6257872066400392,9.47341410151553,-5.123954667637671,0.21759366844711434,-23.54827097776072,11.660664109125419,0.927656479923898,12.570023884360753
pchcurrat,-0.09686286556855732,0.011869251222928562,-8.160823606247492,-0.033863739513724574,0.002823505988682842,-11.993507238680206,0.005829992569753282,0.014189093340874226,0.4108784423144884
pchdepr,0.03397216640401462,0.01035226281853933,3.2816174588589107,-0.025304750591317204,0.0030590518075623305,-8.272089583040382,0.17767360057667209,0.017935166559596014,9.906437165570106
pctacc,-0.0057447432606211315,0.00177272934487544,-3.2406206154525994,-0.007058894346995953,0.0006639408986681898,-10.631811296992712,0.007272262661035515,0.0019033050014821346,3.820860374649615
quick,-0.022900103076327973,0.005567715826961925,-4.113015783857565,-0.009170187076800803,0.0008379680178521068,-10.94336165753196,-0.01110842760604605,0.003236566677693451,-3.432163991122378
rd,0.1138333577547483,0.01327817678603258,8.572965971841143,-0.08032123399708524,0.0036184990475515923,-22.197389840805265,0.2768240400687966,0.0210482603279881,13.151872684732078
rd_mve,1.8087482681924842,0.13340453765127927,13.558371402032586,-0.32637606461809315,0.04384387715113817,-7.444051161192084,4.740789820989781,0.20345499577431678,23.301417608091178
roic,-0.13297970312304744,0.031338877315556006,-4.24328229068496,0.05105881697871812,0.0033964281677161525,15.033091959383734,-0.8465473946064197,0.045428016007763534,-18.63491891131118
secured,0.04002548104701921,0.017235995162272866,2.3222030796706927,-0.16498474943650165,0.006000736323022477,-27.49408415155982,0.33376633541021816,0.02479110286269163,13.463149955805571
sp,0.07807157039178496,0.0049977126913331804,15.621460298662894,-0.007079121293184131,0.0005570739845215635,-12.707686034313651,0.0712474183836317,0.003865482437340934,18.43170148578991
tang,-0.6070990188340851,0.052549652720410345,-11.552864527271884,-0.2727790902637364,0.011299888892074828,-24.139979859009934,-0.6835583012590329,0.08834878698278822,-7.737042291165822
tb,-0.0010507689101889046,0.004033810603593943,-0.2604903931911719,0.013774587564158699,0.002521688611127344,5.462445879866445,-0.06558903819379264,0.004931880700061333,-13.298991233299088
cash,-0.36878176933361473,0.05732050049350948,-6.433680204438771,-0.1070191879142871,0.01693216941469378,-6.320465221746221,-0.059666822324182425,0.08215643498981885,-0.7262586592465529
chtx,-2.2523448932727828,0.5440445468373425,-4.14000086273484,0.8462259152795627,0.26406864510794287,3.204567944572338,-3.5729906592604297,0.7391236907186637,-4.834090293853718
cinvest,-0.015457392841607725,0.012562901495427053,-1.2303999077947303,-0.004716778875794714,0.0029387382250035273,-1.6050353977306204,0.051359802877423075,0.03205346440642775,1.6023167488605001
nincr,-0.006114669216202469,0.0057299085019188725,-1.0671495389768868,0.025187822712712166,0.0015950207317239062,15.791533120380851,-0.047908440344532545,0.005822586131144112,-8.228034633661787
roaq,-1.920555318482791,0.3511746910338712,-5.468945705707338,0.4600909354027496,0.08046580535908059,5.717844161872025,-9.399464577237154,0.44529372015401136,-21.108459768950283
roavol,-1.4256410500046142,0.933426083998306,-1.5273207749861868,-3.2405160123108114,0.2707340006004442,-11.969372170188713,12.977621814352414,0.9214870255129344,14.083347301746958
roeq,-0.985754173695946,0.12934948967974608,-7.62085862214498,0.24084855671316002,0.025834297405528835,9.322822019600025,-3.368105451269816,0.19251942901257862,-17.49488593719938
