,mean_ret,std_error_ret,tstat_ret,mean_ct,std_error_ct,tstat_ct,mean_chg,std_error_chg,tstat_chg
mvel1,-1.3256324001108024e-07,1.576636310505739e-08,-8.407978373183465,-1.1897403707290119e-07,1.4617058468689399e-08,-8.13939667326026,-2.779138738442606e-07,2.6270823941279508e-08,-10.578803103604711
beta,0.05941713867685359,0.02901647093612636,2.047703830271017,0.5472219667887284,0.04267875553767945,12.821881985420285,1.4964853437561845,0.15601278763017312,9.592068486742184
idiovol,2.4755064236449815,1.0776005415054557,2.2972394020761993,23.00280012594224,1.6051422745824844,14.330692356804027,47.67409369289771,2.27377742178034,20.966913135925804
indmom,-0.14157996619396596,0.09854536182768305,-1.4366984256603923,-0.3751400227808078,0.09207909597378383,-4.074106275843708,0.6616951888457522,0.8097592805068855,0.817150485057177
mom1m,-0.300062817680722,0.12183796049301972,-2.4628023685435303,-0.6830199827159585,0.23039215855294357,-2.964597350039594,0.631250436546912,0.7284328608859861,0.8665869848034148
mom6m,-0.2537796513669297,0.06323348004826142,-4.013374737136696,-0.42958486123477974,0.10804304449859724,-3.976052907694185,-0.20209432774922628,0.26025431389655923,-0.776526331969086
mom12m,-0.26922220486873377,0.03808911285187045,-7.06821936010287,-0.22549214002466203,0.07531989876396071,-2.9937923938442172,-0.19282338896866077,0.13402014885310312,-1.4387641755271496
mom36m,-0.20549885822495864,0.01754346175934299,-11.713700582242137,-0.26241409102770874,0.03094427493940399,-8.480214564457428,-0.23900648006311961,0.08260505508087175,-2.893363848364101
pricedelay,-0.11043073766013214,0.017597868177401645,-6.275233826443939,-0.0994108547623802,0.02609145267361993,-3.810092753589405,-0.35029379373681996,0.08685144801380464,-4.033252199561974
age,0.04337717530840961,0.004565069957652534,9.501973838472164,-0.027356289478890947,0.0025766119588756767,-10.617155363521661,0.008069379909695217,0.010689815378049932,0.7548661622598816
agr,0.4700238639747513,0.044637679673276115,10.529755744811872,0.275985703077753,0.04820669422669601,5.725049342315554,0.883206601095591,0.1263829941318391,6.988334207166
bm,0.06590869730289396,0.008917656643499916,7.390809036243265,0.011246869272935929,0.002670072118182077,4.21219681534047,0.08870325715636967,0.012341471833848833,7.187413166805934
bm_ia,0.04119301829535789,0.006131703651943481,6.718038025582256,0.012566349119736114,0.002504717073353206,5.01707328680953,0.06089646977289376,0.01640042849470255,3.7131023614757215
cashpr,-0.003977983100141524,0.0005001483713788659,-7.953606025297189,-6.531322068062331e-05,0.00033260421804713164,-0.196369189375007,-0.010700169622154034,0.0010036213472303433,-10.661560409892532
cfp,0.6706908445028811,0.15292454710879266,4.3857631569491735,-0.7357942529924857,0.07308484780598934,-10.067671686827909,1.871968913157615,0.7475367687536436,2.504183060157321
cfp_ia,0.3972395838542577,0.09253598798983914,4.292811829035385,-0.13457103085629432,0.03161405238658295,-4.256683996430855,0.19346703319800548,0.36705209085348306,0.5270833160169414
chatoia,0.26512437554099927,0.07706755333213305,3.440155604764172,-0.5537219727564471,0.08665781973663915,-6.389751951286769,1.7491716398732535,0.38004629050959454,4.602522596728502
chcsho,-0.5105369361534566,0.02982584162922482,-17.11726839095154,-0.1494287203034827,0.01895687772970508,-7.882559693326007,-0.5054300016166392,0.0858737561215026,-5.885733016050996
depr,1.2194387475334185,0.10873724906509184,11.214544767482973,1.7678717327727476,0.133872539064044,13.20563384494415,1.4998092539007242,0.26911849175235814,5.573044216080266
divi,-0.15415514119728668,0.035713413749867584,-4.316449339650658,-0.08731771038581627,0.023169207161432545,-3.7686965193684014,1.5047621627699033,0.2883325713149546,5.218842102740467
egr,-0.32357697547512354,0.02191128909515741,-14.767591905244723,-0.2041650429171607,0.03973384302407784,-5.138316039388416,-0.9482833686126615,0.10101699259331014,-9.387364880584078
ep,0.5996182371706068,0.08128232939333735,7.376981462587821,-2.8706233391281026,0.2870714504530143,-9.99968242957669,0.8345018353476114,0.6601266931568492,1.2641540540602405
grcapx,-0.06613589829329283,0.013884962534518555,-4.763131202470041,-0.006289316385785654,0.0056205454319483905,-1.1189868424576421,-0.052507070785277714,0.024885168009318635,-2.1099745344542433
hire,-0.46573780156746447,0.0484403193120337,-9.614672408894803,-0.24426838350196542,0.09079912311010066,-2.69020641538324,-0.3538653199849589,0.11004058472241735,-3.2157709892000406
invest,-0.43347850427597284,0.11439917160620702,-3.789175202842582,-0.37147267527978994,0.07251361337174307,-5.122799127047012,0.2515037034137389,0.29431541604356726,0.8545379878317656
lev,0.05806937224697166,0.008011674631740363,7.2480941770793486,-0.007749093054925491,0.00436202149167039,-1.7764912597801203,0.12955884809376164,0.01883771713560586,6.877629978256639
mve_ia,-0.00013915636460608944,1.46787608450582e-05,-9.480116617128365,-0.0001038976720097329,6.879658452161156e-06,-15.102155540453436,-0.00021985837290406385,1.531347803384007e-05,-14.35718080622938
orgcap,11.353328537346568,2.4634902785921757,4.608635412937256,4.4955909490240655,0.7066752279164242,6.361608234491194,3.4896182286319015,6.316355642957325,0.5524733605718974
pchcurrat,-0.18409732057165784,0.0388184685689479,-4.742518892641814,0.04810091190328324,0.026159271915586927,1.8387710506049082,-0.0441018969202436,0.05253307725322457,-0.839507206243787
pchdepr,0.10890719711675391,0.03430052450870915,3.1750883893656376,0.183570561468906,0.03600991384738085,5.097778413103808,0.24715166770636499,0.16513992398468144,1.4966197255201052
pctacc,0.02640305567817755,0.006528643579884822,4.044187028302034,0.025992370853057944,0.0048906062267840165,5.314754377628581,0.015139945165788699,0.012642971626707543,1.1974989435083794
quick,-0.02158301528678742,0.003141632273321444,-6.870000499443908,-0.016104272921831236,0.0050266513938213185,-3.203777556889335,-0.013882476655843176,0.014945652816956888,-0.9288638526443312
rd,0.30687894639694596,0.061488655128071786,4.990822221721429,0.5592280400042812,0.10859353087798992,5.149736227221498,0.34338470300967,0.10641983631914641,3.2266982818868546
rd_mve,1.8515311174840139,0.36630505804215163,5.054615208919539,7.5192518291078265,0.6531819222282196,11.511726784258162,8.397078096410754,1.3449251647429823,6.243528128210354
roic,-0.44377512943720443,0.053342366754427696,-8.319374569190234,-1.286990895219479,0.05910863676645599,-21.773313776538377,-2.2878809484000464,0.17788664288844233,-12.861454414173414
secured,-0.5823044194702909,0.07232996813529662,-8.050666058376564,0.4490573021290196,0.06472580603798153,6.9378402466785785,0.42122979615065664,0.15181212447834672,2.7746782254584517
