,date,mp_10yr
1,1928-01-03,
2,1928-01-04,
3,1928-01-05,
4,1928-01-06,
5,1928-01-09,
6,1928-01-10,
7,1928-01-11,
8,1928-01-12,
9,1928-01-13,
10,1928-01-16,
11,1928-01-17,
12,1928-01-18,
13,1928-01-19,
14,1928-01-20,
15,1928-01-23,
16,1928-01-24,
17,1928-01-25,
18,1928-01-26,
19,1928-01-27,
20,1928-01-30,
21,1928-01-31,
22,1928-02-01,
23,1928-02-02,
24,1928-02-03,
25,1928-02-06,
26,1928-02-07,
27,1928-02-08,
28,1928-02-09,
29,1928-02-10,
30,1928-02-14,
31,1928-02-15,
32,1928-02-16,
33,1928-02-17,
34,1928-02-20,
35,1928-02-21,
36,1928-02-23,
37,1928-02-24,
38,1928-02-27,
39,1928-02-28,
40,1928-02-29,
41,1928-03-01,
42,1928-03-02,
43,1928-03-05,
44,1928-03-06,
45,1928-03-07,
46,1928-03-08,
47,1928-03-09,
48,1928-03-12,
49,1928-03-13,
50,1928-03-14,
51,1928-03-15,
52,1928-03-16,
53,1928-03-19,
54,1928-03-20,
55,1928-03-21,
56,1928-03-22,
57,1928-03-23,
58,1928-03-26,
59,1928-03-27,
60,1928-03-28,
61,1928-03-29,
62,1928-03-30,
63,1928-04-02,
64,1928-04-03,
65,1928-04-04,
66,1928-04-05,
67,1928-04-09,
68,1928-04-10,
69,1928-04-11,
70,1928-04-12,
71,1928-04-13,
72,1928-04-16,
73,1928-04-17,
74,1928-04-18,
75,1928-04-19,
76,1928-04-20,
77,1928-04-23,
78,1928-04-24,
79,1928-04-25,
80,1928-04-26,
81,1928-04-27,
82,1928-04-30,
83,1928-05-01,
84,1928-05-02,
85,1928-05-03,
86,1928-05-04,
87,1928-05-07,
88,1928-05-08,
89,1928-05-09,
90,1928-05-10,
91,1928-05-11,
92,1928-05-14,
93,1928-05-15,
94,1928-05-16,
95,1928-05-17,
96,1928-05-18,
97,1928-05-21,
98,1928-05-22,
99,1928-05-23,
100,1928-05-24,
101,1928-05-25,
102,1928-05-28,
103,1928-05-29,
104,1928-05-31,
105,1928-06-01,
106,1928-06-04,
107,1928-06-05,
108,1928-06-06,
109,1928-06-07,
110,1928-06-08,
111,1928-06-11,
112,1928-06-12,
113,1928-06-13,
114,1928-06-14,
115,1928-06-15,
116,1928-06-18,
117,1928-06-19,
118,1928-06-20,
119,1928-06-21,
120,1928-06-22,
121,1928-06-25,
122,1928-06-26,
123,1928-06-27,
124,1928-06-28,
125,1928-06-29,
126,1928-07-02,
127,1928-07-03,
128,1928-07-05,
129,1928-07-06,
130,1928-07-09,
131,1928-07-10,
132,1928-07-11,
133,1928-07-12,
134,1928-07-13,
135,1928-07-16,
136,1928-07-17,
137,1928-07-18,
138,1928-07-19,
139,1928-07-20,
140,1928-07-23,
141,1928-07-24,
142,1928-07-25,
143,1928-07-26,
144,1928-07-27,
145,1928-07-30,
146,1928-07-31,
147,1928-08-01,
148,1928-08-02,
149,1928-08-03,
150,1928-08-06,
151,1928-08-07,
152,1928-08-08,
153,1928-08-09,
154,1928-08-10,
155,1928-08-13,
156,1928-08-14,
157,1928-08-15,
158,1928-08-16,
159,1928-08-17,
160,1928-08-20,
161,1928-08-21,
162,1928-08-22,
163,1928-08-23,
164,1928-08-24,
165,1928-08-27,
166,1928-08-28,
167,1928-08-29,
168,1928-08-30,
169,1928-08-31,
170,1928-09-04,
171,1928-09-05,
172,1928-09-06,
173,1928-09-07,
174,1928-09-10,
175,1928-09-11,
